"year","title","venue","category","modality","shift_or_focus","paper_url","code_url"
"2026","Open-Vocabulary Domain Generalization in Urban-Scene Segmentation","CVPR","Open-world representation","Camera + language","Unseen domains + unseen categories","https://openaccess.thecvf.com/content/CVPR2026/html/Zhao_Open-Vocabulary_Domain_Generalization_in_Urban-Scene_Segmentation_CVPR_2026_paper.html",""
"2026","CD-Buffer: Complementary Dual-Buffer Framework for Test-Time Adaptation in Adverse Weather Object Detection","CVPR","Test-time adaptation","Camera","Adverse weather and shift severity","https://openaccess.thecvf.com/content/CVPR2026/html/Song_CD-Buffer_Complementary_Dual-Buffer_Framework_for_Test-Time_Adaptation_in_Adverse_Weather_CVPR_2026_paper.html",""
"2026","Learning to Drive is a Free Gift: Large-Scale Label-Free Autonomy Pretraining from Unposed In-The-Wild Videos","CVPR","Foundation pretraining","Video","Unposed and unlabeled web driving data","https://openaccess.thecvf.com/content/CVPR2026/html/Strong_Learning_to_Drive_is_a_Free_Gift_Large-Scale_Label-Free_Autonomy_CVPR_2026_paper.html",""
"2026","DrivePTS: A Progressive Learning Framework with Textual and Structural Enhancement for Driving Scene Generation","CVPR","Data generation","Multi-view camera + text + layout","Rare-scene and condition generalization","https://openaccess.thecvf.com/content/CVPR2026/html/Wang_DrivePTS_A_Progressive_Learning_Framework_with_Textual_and_Structural_Enhancement_CVPR_2026_paper.html",""
"2026","GenieDrive: Towards Physics-Aware Driving World Model with 4D Occupancy Guided Video Generation","CVPR","World model","Multi-view camera + 4D occupancy","Physical and multi-view consistency","https://openaccess.thecvf.com/content/CVPR2026/html/Yang_GenieDrive_Towards_Physics-Aware_Driving_World_Model_with_4D_Occupancy_Guided_CVPR_2026_paper.html",""
"2026","GaussianDWM: 3D Gaussian Driving World Model for Unified Scene Understanding and Multi-Modal Generation","CVPR","World model","Camera + language + 3D Gaussians","3D understanding and multimodal generation","https://openaccess.thecvf.com/content/CVPR2026/html/Deng_GaussianDWM_3D_Gaussian_Driving_World_Model_for_Unified_Scene_Understanding_CVPR_2026_paper.html",""
"2026","DriveLaW: Unifying Planning and Video Generation in a Latent Driving World","CVPR","World model","Video + action","Prediction-planning consistency","https://openaccess.thecvf.com/content/CVPR2026/html/Xia_DriveLaW_Unifying_Planning_and_Video_Generation_in_a_Latent_Driving_CVPR_2026_paper.html",""
"2026","SGDrive: Scene-to-Goal Hierarchical World Cognition for Autonomous Driving","CVPR","Driving foundation model","Camera + language","Structured spatial-temporal reasoning","https://openaccess.thecvf.com/content/CVPR2026/html/Li_SGDrive_Scene-to-Goal_Hierarchical_World_Cognition_for_Autonomous_Driving_CVPR_2026_paper.html",""
"2026","SimScale: Learning to Drive via Real-World Simulation at Scale","CVPR","Simulation and training","Driving simulation","Scalable real-world simulation","https://openaccess.thecvf.com/content/CVPR2026/html/Tian_SimScale_Learning_to_Drive_via_Real-World_Simulation_at_Scale_CVPR_2026_paper.html",""
"2025","JarvisIR: Elevating Autonomous Driving Perception with Intelligent Image Restoration","CVPR","Robust restoration","Camera + VLM","Coupled real-world degradations","https://openaccess.thecvf.com/content/CVPR2025/html/Lin_JarvisIR_Elevating_Autonomous_Driving_Perception_with_Intelligent_Image_Restoration_CVPR_2025_paper.html","https://cvpr2025-jarvisir.github.io/"
"2025","Adaptive Dual Uncertainty Optimization: Boosting Monocular 3D Object Detection under Test-Time Shifts","ICCV","Test-time adaptation","Monocular camera","Semantic + geometric uncertainty","https://openaccess.thecvf.com/content/ICCV2025/html/Hu_Adaptive_Dual_Uncertainty_Optimization_Boosting_Monocular_3D_Object_Detection_under_ICCV_2025_paper.html","https://github.com/hzcar/DUO"
"2025","CodeMerge: Codebook-Guided Model Merging for Robust Test-Time Adaptation in Autonomous Driving","NeurIPS","Test-time adaptation","Camera + LiDAR","Corruptions and cross-dataset shifts","https://proceedings.neurips.cc/paper_files/paper/2025/hash/463a91da3c832bd28912cd0d1b8d9974-Abstract-Conference.html","https://github.com/UQHTy/CodeMerge"
"2025","RCP-Bench: Benchmarking Robustness for Collaborative Perception Under Diverse Corruptions","CVPR","Robustness benchmark","Multi-agent camera","Weather sensor failure temporal misalignment","https://openaccess.thecvf.com/content/CVPR2025/papers/Du_RCP-Bench_Benchmarking_Robustness_for_Collaborative_Perception_Under_Diverse_Corruptions_CVPR_2025_paper.pdf","https://github.com/LuckyDush/RCP-Bench"
"2025","WorldModelBench: Judging Video Generation Models As World Models","NeurIPS Datasets and Benchmarks","World-model evaluation","Video","Physics adherence and instruction following","https://proceedings.neurips.cc/paper_files/paper/2025/hash/4ec03ed08a3fcb59e1c815b5598beff1-Abstract-Datasets_and_Benchmarks_Track.html","https://github.com/WorldModelBench-Team/WorldModelBench"
"2025","STSBench: A Spatio-temporal Scenario Benchmark for Multi-modal Large Language Models in Autonomous Driving","NeurIPS Datasets and Benchmarks","Foundation-model evaluation","Multi-view camera + LiDAR + language","Spatio-temporal reasoning","https://proceedings.neurips.cc/paper_files/paper/2025/hash/d7b7c2ff14a479d574b971fd8a36f3e4-Abstract-Datasets_and_Benchmarks_Track.html",""
"2025","Prioritizing Perception-Guided Self-Supervision: A New Paradigm for Causal Modeling in End-to-End Autonomous Driving","NeurIPS","Causal training","Camera + trajectories","Causal confusion and closed-loop transfer","https://proceedings.neurips.cc/paper_files/paper/2025/hash/476c9ac41c967332dd28fb844e166b34-Abstract-Conference.html",""
"2025","Impromptu VLA: Open Weights and Open Data for Driving Vision-Language-Action Models","NeurIPS Datasets and Benchmarks","Driving foundation model","Video + language + action","Unstructured corner cases","https://proceedings.neurips.cc/paper_files/paper/2025/hash/6e4f0c8c6890899e2206585c3cfba4d1-Abstract-Datasets_and_Benchmarks_Track.html","https://github.com/ahydchh/Impromptu-VLA"
"2025","UniScene: Unified Occupancy-centric Driving Scene Generation","CVPR","Data generation","Occupancy + video + LiDAR","Controllable multimodal generation","https://openaccess.thecvf.com/content/CVPR2025/html/Li_UniScene_Unified_Occupancy-centric_Driving_Scene_Generation_CVPR_2025_paper.html","https://arlo0o.github.io/uniscene/"
"2025","DIO: Decomposable Implicit 4D Occupancy-Flow World Model","CVPR","World model","LiDAR + occupancy flow","4D completion forecasting and transfer","https://openaccess.thecvf.com/content/CVPR2025/html/Diehl_DIO_Decomposable_Implicit_4D_Occupancy-Flow_World_Model_CVPR_2025_paper.html",""
"2025","GaussianWorld: Gaussian World Model for Streaming 3D Occupancy Prediction","CVPR","World model","Camera + 3D Gaussians","Streaming 3D occupancy","https://openaccess.thecvf.com/content/CVPR2025/papers/Zuo_GaussianWorld_Gaussian_World_Model_for_Streaming_3D_Occupancy_Prediction_CVPR_2025_paper.pdf","https://github.com/zuosc19/GaussianWorld"
"2025","ReconDreamer: Crafting World Models for Driving Scene Reconstruction via Online Restoration","CVPR","Neural reconstruction","Multi-view camera","Novel-trajectory rendering","https://openaccess.thecvf.com/content/CVPR2025/html/Ni_ReconDreamer_Crafting_World_Models_for_Driving_Scene_Reconstruction_via_Online_CVPR_2025_paper.html",""
"2025","Scenario Dreamer: Vectorized Latent Diffusion for Generating Driving Simulation Environments","CVPR","Simulation and generation","Vectorized scenes + agents","Diverse simulation environments","https://openaccess.thecvf.com/content/CVPR2025/html/Rowe_Scenario_Dreamer_Vectorized_Latent_Diffusion_for_Generating_Driving_Simulation_Environments_CVPR_2025_paper.html",""
"2023","Benchmarking Robustness of 3D Object Detection to Common Corruptions in Autonomous Driving","CVPR","Robustness benchmark","Camera + LiDAR","Weather sensor motion object alignment","https://openaccess.thecvf.com/content/CVPR2023/html/Dong_Benchmarking_Robustness_of_3D_Object_Detection_to_Common_Corruptions_CVPR_2023_paper.html",""
"2023","Robo3D: Towards Robust and Reliable 3D Perception against Corruptions","ICCV","Robustness benchmark","LiDAR","3D corruptions and severity","https://openaccess.thecvf.com/content/ICCV2023/html/Kong_Robo3D_Towards_Robust_and_Reliable_3D_Perception_against_Corruptions_ICCV_2023_paper.html",""
"2022","SHIFT: A Synthetic Driving Dataset for Continuous Multi-Task Domain Adaptation","CVPR","Dataset and benchmark","Camera + LiDAR","Continuous weather time and density shifts","https://openaccess.thecvf.com/content/CVPR2022/html/Sun_SHIFT_A_Synthetic_Driving_Dataset_for_Continuous_Multi-Task_Domain_Adaptation_CVPR_2022_paper.html","https://www.vis.xyz/shift/"
"2024","DriveWorld: 4D Pre-trained Scene Understanding via World Models for Autonomous Driving","CVPR","Foundation pretraining","Multi-view camera","4D spatio-temporal pretraining","https://openaccess.thecvf.com/content/CVPR2024/papers/Min_DriveWorld_4D_Pre-trained_Scene_Understanding_via_World_Models_for_Autonomous_CVPR_2024_paper.pdf",""
"2024","An Empirical Study of the Generalization Ability of LiDAR 3D Object Detectors to Unseen Domains","CVPR","Domain generalization","LiDAR","Geography sensor weather and architecture shifts","https://openaccess.thecvf.com/content/CVPR2024/html/Eskandar_An_Empirical_Study_of_the_Generalization_Ability_of_Lidar_3D_CVPR_2024_paper.html",""
"2024","UniMix: Towards Domain Adaptive and Generalizable LiDAR Semantic Segmentation in Adverse Weather","CVPR","Domain adaptation and generalization","LiDAR","Clear-to-adverse-weather transfer","https://openaccess.thecvf.com/content/CVPR2024/html/Zhao_UniMix_Towards_Domain_Adaptive_and_Generalizable_LiDAR_Semantic_Segmentation_in_CVPR_2024_paper.html",""
"2024","VLP: Vision Language Planning for Autonomous Driving","CVPR","Driving foundation model","Camera + language","New-city and long-tail planning generalization","https://openaccess.thecvf.com/content/CVPR2024/papers/Pan_VLP_Vision_Language_Planning_for_Autonomous_Driving_CVPR_2024_paper.pdf",""
"2024","Generalized Predictive Model for Autonomous Driving","CVPR","World model","Driving video + action","Zero-shot scenario prediction and planning","https://openaccess.thecvf.com/content/CVPR2024/papers/Yang_Generalized_Predictive_Model_for_Autonomous_Driving_CVPR_2024_paper.pdf","https://github.com/OpenDriveLab/DriveAGI"
"2024","ERMVP: Communication-Efficient and Collaboration-Robust Multi-Vehicle Perception in Challenging Environments","CVPR","Robust collaborative perception","Multi-agent camera","Communication noise and challenging environments","https://openaccess.thecvf.com/content/CVPR2024/html/Zhang_ERMVP_Communication-Efficient_and_Collaboration-Robust_Multi-Vehicle_Perception_in_Challenging_Environments_CVPR_2024_paper.html",""
"2024","DrivingGaussian: Composite Gaussian Splatting for Surrounding Dynamic Autonomous Driving Scenes","CVPR","Neural reconstruction","Multi-view camera + LiDAR","Dynamic scene reconstruction and novel views","https://openaccess.thecvf.com/content/CVPR2024/html/Zhou_DrivingGaussian_Composite_Gaussian_Splatting_for_Surrounding_Dynamic_Autonomous_Driving_Scenes_CVPR_2024_paper.html","https://github.com/VDIGPKU/DrivingGaussian"
"2024","Are NeRFs Ready for Autonomous Driving? Towards Closing the Real-to-Simulation Gap","CVPR Workshops","Robustness evaluation","Camera + neural rendering","Reality gap and downstream perception","https://openaccess.thecvf.com/content/CVPR2024W/WAD/html/Lindstrom_Are_NeRFs_Ready_for_Autonomous_Driving_Towards_Closing_the_Real-to-simulation_CVPRW_2024_paper.html",""
"2023","Domain Generalization of 3D Semantic Segmentation in Autonomous Driving","ICCV","Domain generalization","LiDAR","Cross-dataset and cross-sensor segmentation","https://openaccess.thecvf.com/content/ICCV2023/html/Sanchez_Domain_Generalization_of_3D_Semantic_Segmentation_in_Autonomous_Driving_ICCV_2023_paper.html","https://github.com/JulesSanchez/3DLabelProp"
"2023","DomainAdaptor: A Novel Approach to Test-Time Adaptation","ICCV","Test-time adaptation","Camera","Stable prediction adaptation under shifts","https://openaccess.thecvf.com/content/ICCV2023/html/Zhang_DomainAdaptor_A_Novel_Approach_to_Test-time_Adaptation_ICCV_2023_paper.html",""
"2023","Unsupervised Domain Adaptation for Self-Driving from Past Traversal Features","ICCV Workshops","Domain adaptation","Camera + map traversals","Cross-traversal appearance shifts","https://openaccess.thecvf.com/content/ICCV2023W/BRAVO/html/Zhang_Unsupervised_Domain_Adaptation_for_Self-Driving_from_Past_Traversal_Features_ICCVW_2023_paper.html",""
"2024","OpenMARS: A Multiagent Multitraversal Multimodal Self-Driving Dataset","CVPR","Dataset and benchmark","Multi-agent camera + LiDAR","Repeated routes agents and conditions","https://arxiv.org/search/?query=Multiagent%20Multitraversal%20Multimodal%20Self-Driving%20Open%20MARS%20Dataset&searchtype=title","https://github.com/ai4ce/OpenMars"
"2024","V2X-Radar: A Multi-Modal Dataset with 4D Radar for Cooperative Perception","arXiv","Dataset and benchmark","Camera + LiDAR + 4D radar","Cooperative sensor and viewpoint diversity","https://arxiv.org/abs/2411.10962",""
"2024","V2X-R: Cooperative LiDAR-4D Radar Fusion for 3D Object Detection with Denoising Diffusion","arXiv","Robust collaborative perception","LiDAR + 4D radar","Cross-sensor cooperative fusion","https://arxiv.org/abs/2411.08402",""
"2024","Adver-City: Open-Source Multi-Modal Dataset for Collaborative Perception under Adverse Weather Conditions","arXiv","Dataset and benchmark","Multi-agent multimodal","Adverse weather collaborative perception","https://arxiv.org/abs/2410.06380",""
"2024","CORP: A Multi-Modal Dataset for Campus-Oriented Roadside Perception Tasks","arXiv","Dataset and benchmark","Roadside camera + LiDAR","Campus geography and infrastructure transfer","https://arxiv.org/abs/2404.03191",""
"2024","WayveScenes101: A Dataset and Benchmark for Novel View Synthesis in Autonomous Driving","arXiv","Dataset and benchmark","Multi-camera video","Novel-view and scene reconstruction","https://arxiv.org/abs/2407.08280",""
"2024","SEVD: Synthetic Event-Based Vision Dataset for Ego and Fixed Traffic Perception","arXiv","Dataset and benchmark","Event camera","Sensor modality and illumination shifts","https://arxiv.org/abs/2404.10540",""
"2025","MSC-Bench: Benchmarking and Analyzing Multi-Sensor Corruption for Driving Perception","arXiv","Robustness benchmark","Camera + LiDAR","Joint and asymmetric sensor corruptions","https://arxiv.org/abs/2501.01037",""
"2024","OpenAD: Open-World Autonomous Driving Benchmark for 3D Object Detection","arXiv","Open-world evaluation","Camera + LiDAR","Open-set objects and long-tail classes","https://arxiv.org/abs/2411.17761",""
"2025","Multimodal 3D Object Detection on Unseen Domains","CVPR Workshops","Domain generalization","Camera + LiDAR","Unseen geographic and sensor domains","https://openaccess.thecvf.com/content/CVPR2025W/WAD/html/Hegde_Multimodal_3D_Object_Detection_on_Unseen_Domains_CVPRW_2025_paper.html",""
"2025","Hyperdimensional Uncertainty Quantification for Multimodal Uncertainty Fusion in Autonomous Vehicles Perception","CVPR","Uncertainty evaluation","Multimodal","Uncertainty-aware sensor fusion","https://openaccess.thecvf.com/content/CVPR2025/html/Chen_Hyperdimensional_Uncertainty_Quantification_for_Multimodal_Uncertainty_Fusion_in_Autonomous_Vehicles_CVPR_2025_paper.html",""
"2025","UrbanCAD: Towards Highly Controllable and Photorealistic 3D Vehicles for Urban Scene Simulation","CVPR","Data generation","3D assets + camera","Controllable vehicle synthesis","https://arxiv.org/search/?query=UrbanCAD%20Towards%20Highly%20Controllable%20and%20Photorealistic%203D%20Vehicles%20for%20Urban%20Scene%20Simulation&searchtype=title",""
"2025","SplatAD: Real-Time LiDAR and Camera Rendering with 3D Gaussian Splatting for Autonomous Driving","CVPR","Neural reconstruction","Camera + LiDAR + 3D Gaussians","Real-time multimodal sensor rendering","https://openaccess.thecvf.com/content/CVPR2025/html/Hess_SplatAD_Real-Time_Lidar_and_Camera_Rendering_with_3D_Gaussian_Splatting_CVPR_2025_paper.html",""
"2025","RainyGS: Efficient Rain Synthesis with Physically-Based Gaussian Splatting","CVPR","Data generation","Camera + 3D Gaussians","Physically grounded rain synthesis","https://arxiv.org/search/?query=RainyGS%20Efficient%20Rain%20Synthesis%20with%20Physically-Based%20Gaussian%20Splatting&searchtype=title",""
"2025","DriveDreamer4D: World Models Are Effective Data Machines for 4D Driving Scene Representation","CVPR","World model","Multi-view video + 4D scene","World-model supervision for 4D reconstruction","https://arxiv.org/search/?query=DriveDreamer4D%20World%20Models%20Are%20Effective%20Data%20Machines%20for%204D%20Driving%20Scene%20Representation&searchtype=title",""
"2025","DrivingForward: Feed-Forward 3D Gaussian Splatting for Driving Scene Reconstruction from Flexible Surround-View Input","AAAI","Neural reconstruction","Surround-view camera","Flexible sensor layouts and feed-forward reconstruction","https://arxiv.org/search/?query=DrivingForward%20Feed-Forward%203D%20Gaussian%20Splatting%20for%20Driving%20Scene%20Reconstruction&searchtype=title",""
"2025","S-NeRF++: Autonomous Driving Simulation via Neural Reconstruction and Generation","IEEE TPAMI","Simulation and generation","Camera + neural fields","Reconstruction-generation hybrid simulation","https://arxiv.org/search/?query=S-NeRF%2B%2B%20Autonomous%20Driving%20Simulation%20via%20Neural%20Reconstruction%20and%20Generation&searchtype=title",""
"2025","WeatherEdit: Controllable Weather Editing with 4D Gaussian Field","arXiv","Data generation","Video + 4D Gaussians","Controllable weather counterfactuals","https://arxiv.org/abs/2505.20471",""
"2025","UA-Fusion: Uncertainty-Aware Multimodal Data Fusion Framework for 3D Object Detection of Autonomous Vehicles","IEEE TIM","Uncertainty-aware fusion","Camera + LiDAR","Sensor reliability and predictive uncertainty","https://arxiv.org/search/?query=UA-Fusion%20Uncertainty-Aware%20Multimodal%20Data%20Fusion%20Framework%20for%203D%20Object%20Detection&searchtype=title",""
"2024","DriveDreamer: Towards Real-World-Driven World Models for Autonomous Driving","ECCV","World model","Driving video + actions","Controllable future generation","https://arxiv.org/search/?query=DriveDreamer%20Towards%20Real-World-Driven%20World%20Models%20for%20Autonomous%20Driving&searchtype=title",""
"2024","MagicDrive: Street View Generation with Diverse 3D Geometry Control","ICLR","Data generation","Multi-view camera + 3D boxes + maps","Controllable multi-view street generation","https://arxiv.org/search/?query=MagicDrive%20Street%20View%20Generation%20with%20Diverse%203D%20Geometry%20Control&searchtype=title",""
"2024","Panacea: Panoramic and Controllable Video Generation for Autonomous Driving","CVPR","Data generation","Multi-view video","Panoramic temporal consistency and control","https://arxiv.org/search/?query=Panacea%20Panoramic%20and%20Controllable%20Video%20Generation%20for%20Autonomous%20Driving&searchtype=title",""
"2024","Driving into the Future: Multiview Visual Forecasting and Planning with World Model for Autonomous Driving","CVPR","World model","Multi-view video + action","Action-conditioned forecasting and planning","https://arxiv.org/search/?query=Driving%20into%20the%20Future%20Multiview%20Visual%20Forecasting%20and%20Planning%20with%20World%20Model&searchtype=title",""
"2024","OccWorld: Learning a 3D Occupancy World Model for Autonomous Driving","ECCV","World model","3D occupancy","Semantic occupancy forecasting and planning","https://arxiv.org/search/?query=OccWorld%20Learning%20a%203D%20Occupancy%20World%20Model%20for%20Autonomous%20Driving&searchtype=title",""
"2024","WoVoGen: World Volume-Aware Diffusion for Controllable Multi-Camera Driving Scene Generation","ECCV","Data generation","Multi-view camera + 3D volume","World-consistent multi-camera generation","https://arxiv.org/search/?query=WoVoGen%20World%20Volume-Aware%20Diffusion%20for%20Controllable%20Multi-Camera%20Driving%20Scene%20Generation&searchtype=title",""
"2024","Street Gaussians: Modeling Dynamic Urban Scenes with Gaussian Splatting","ECCV","Neural reconstruction","Camera + 3D Gaussians","Dynamic urban decomposition and editing","https://arxiv.org/search/?query=Street%20Gaussians%20Modeling%20Dynamic%20Urban%20Scenes%20with%20Gaussian%20Splatting&searchtype=title",""
"2024","NeuRAD: Neural Rendering for Autonomous Driving","CVPR","Neural reconstruction","Camera + LiDAR","Unified sensor rendering and simulation","https://arxiv.org/search/?query=NeuRAD%20Neural%20Rendering%20for%20Autonomous%20Driving&searchtype=title",""
"2024","HUGS: Holistic Urban 3D Scene Understanding via Gaussian Splatting","CVPR","Neural reconstruction","Camera + 3D Gaussians","Dynamic urban scene representation","https://arxiv.org/search/?query=HUGS%20Holistic%20Urban%203D%20Scene%20Understanding%20via%20Gaussian%20Splatting&searchtype=title",""
"2024","MagicDrive3D: Controllable 3D Generation for Any-View Rendering in Street Scenes","arXiv","Data generation","Camera + 3D assets","Any-view controllable street generation","https://arxiv.org/abs/2405.14475",""
"2024","WeatherGS: 3D Scene Reconstruction in Adverse Weather Conditions via Gaussian Splatting","arXiv","Neural reconstruction","Camera + 3D Gaussians","Adverse-weather reconstruction","https://arxiv.org/abs/2412.18862",""
"2024","AutoSplat: Constrained Gaussian Splatting for Autonomous Driving Scene Reconstruction","arXiv","Neural reconstruction","Camera + 3D Gaussians","Geometry-constrained driving reconstruction","https://arxiv.org/abs/2407.02598",""
"2023","GAIA-1: A Generative World Model for Autonomous Driving","arXiv","World model","Video + text + action","Large-scale generative driving dynamics","https://arxiv.org/abs/2309.17080",""
"2023","UniSim: A Neural Closed-Loop Sensor Simulator","CVPR","Simulation and generation","Camera + LiDAR","Closed-loop neural sensor simulation","https://arxiv.org/search/?query=UniSim%20A%20Neural%20Closed-Loop%20Sensor%20Simulator&searchtype=title",""
"2022","MILE: Model-Based Imitation Learning for Urban Driving","NeurIPS","World model","Camera + action","Latent dynamics and closed-loop imitation","https://arxiv.org/search/?query=MILE%20Model-Based%20Imitation%20Learning%20for%20Urban%20Driving&searchtype=title",""
"2021","DriveGAN: Towards a Controllable High-Quality Neural Simulation","CVPR","Simulation and generation","Video + controls","Controllable driving video simulation","https://arxiv.org/search/?query=DriveGAN%20Towards%20a%20Controllable%20High-Quality%20Neural%20Simulation&searchtype=title",""
"2023","Planning-Oriented Autonomous Driving","CVPR","End-to-end driving","Multi-view camera","Unified perception prediction and planning","https://arxiv.org/search/?query=Planning-Oriented%20Autonomous%20Driving%20UniAD&searchtype=title","https://github.com/OpenDriveLab/UniAD"
"2023","VAD: Vectorized Scene Representation for Efficient Autonomous Driving","ICCV","End-to-end driving","Multi-view camera + vector map","Efficient vectorized planning representation","https://arxiv.org/search/?query=VAD%20Vectorized%20Scene%20Representation%20for%20Efficient%20Autonomous%20Driving&searchtype=title","https://github.com/hustvl/VAD"
"2023","OpenScene: 3D Scene Understanding with Open Vocabularies","CVPR","Open-world representation","RGB-D + point cloud + language","Open-vocabulary 3D semantics","https://arxiv.org/search/?query=OpenScene%203D%20Scene%20Understanding%20with%20Open%20Vocabularies&searchtype=title","https://github.com/pengsongyou/openscene"
"2023","PLA: Language-Driven Open-Vocabulary 3D Scene Understanding","CVPR","Open-world representation","Point cloud + language","Open-vocabulary 3D recognition","https://arxiv.org/search/?query=PLA%20Language-Driven%20Open-Vocabulary%203D%20Scene%20Understanding&searchtype=title",""
"2023","OpenMask3D: Open-Vocabulary 3D Instance Segmentation","NeurIPS","Open-world representation","RGB-D + point cloud + language","Open-vocabulary 3D instances","https://arxiv.org/search/?query=OpenMask3D%20Open-Vocabulary%203D%20Instance%20Segmentation&searchtype=title","https://github.com/OpenMask3D/openmask3d"
"2023","LERF: Language Embedded Radiance Fields","ICCV","Open-world representation","Camera + language + neural fields","Open-ended 3D language grounding","https://arxiv.org/search/?query=LERF%20Language%20Embedded%20Radiance%20Fields&searchtype=title",""
"2024","ConceptFusion: Open-Set Multimodal 3D Mapping","ICRA","Open-world representation","RGB-D + language","Open-set 3D mapping and retrieval","https://arxiv.org/search/?query=ConceptFusion%20Open-Set%20Multimodal%203D%20Mapping&searchtype=title",""
"2024","RegionPLC: Regional Point-Language Contrastive Learning for Open-World 3D Scene Understanding","CVPR","Open-world representation","Point cloud + language","Regional open-world 3D grounding","https://arxiv.org/search/?query=RegionPLC%20Regional%20Point-Language%20Contrastive%20Learning&searchtype=title",""
"2024","YOLO-World: Real-Time Open-Vocabulary Object Detection","CVPR","Open-world representation","Camera + language","Real-time open-vocabulary detection","https://arxiv.org/search/?query=YOLO-World%20Real-Time%20Open-Vocabulary%20Object%20Detection&searchtype=title","https://github.com/AILab-CVC/YOLO-World"
"2024","Training an Open-Vocabulary Monocular 3D Detection Model without 3D Data","NeurIPS","Open-world representation","Monocular camera + language","Open-vocabulary 3D detection without 3D labels","https://arxiv.org/search/?query=Training%20an%20Open-Vocabulary%20Monocular%203D%20Detection%20Model%20without%203D%20Data&searchtype=title",""
"2024","3D Open-Vocabulary Panoptic Segmentation with 2D-3D Vision-Language Distillation","ECCV","Open-world representation","RGB + point cloud + language","Open-vocabulary 3D panoptic segmentation","https://arxiv.org/search/?query=3D%20Open-Vocabulary%20Panoptic%20Segmentation%20with%202D-3D%20Vision-Language%20Distillation&searchtype=title",""
"2025","Hierarchical Cross-Modal Alignment for Open-Vocabulary 3D Object Detection","AAAI","Open-world representation","Point cloud + image + language","Open-vocabulary 3D detection","https://arxiv.org/search/?query=Hierarchical%20Cross-Modal%20Alignment%20for%20Open-Vocabulary%203D%20Object%20Detection&searchtype=title",""
"2021","ST3D: Self-Training for Unsupervised Domain Adaptation on 3D Object Detection","CVPR","Domain adaptation","LiDAR","Cross-dataset 3D detection","https://arxiv.org/search/?query=ST3D%20Self-Training%20for%20Unsupervised%20Domain%20Adaptation%20on%203D%20Object%20Detection&searchtype=title","https://github.com/CVMI-Lab/ST3D"
"2020","xMUDA: Cross-Modal Unsupervised Domain Adaptation for 3D Semantic Segmentation","CVPR","Domain adaptation","Camera + LiDAR","Cross-modal cross-domain segmentation","https://arxiv.org/search/?query=xMUDA%20Cross-Modal%20Unsupervised%20Domain%20Adaptation%20for%203D%20Semantic%20Segmentation&searchtype=title","https://github.com/valeoai/xmuda"
"2023","ResiMAD: Zero-Shot 3D Domain Transfer for Autonomous Driving with Source Reconstruction and Target Simulation","arXiv","Domain adaptation","LiDAR","Zero-shot cross-sensor and cross-domain transfer","https://arxiv.org/abs/2309.05527",""
"2024","BEVUDA++: Geometric-Aware Unsupervised Domain Adaptation for Multi-View 3D Object Detection","IEEE TCSVT","Domain adaptation","Multi-view camera","Cross-domain BEV geometry transfer","https://arxiv.org/search/?query=BEVUDA%2B%2B%20Geometric-Aware%20Unsupervised%20Domain%20Adaptation%20for%20Multi-View%203D%20Object%20Detection&searchtype=title",""
"2024","CADET: A Causal Disentanglement Approach for Robust Trajectory Prediction in Autonomous Driving","CVPR","Causal training","Trajectories + map","Robust prediction under contextual shifts","https://arxiv.org/search/?query=CADET%20A%20Causal%20Disentanglement%20Approach%20for%20Robust%20Trajectory%20Prediction&searchtype=title",""
"2021","Tent: Fully Test-Time Adaptation by Entropy Minimization","ICLR","Test-time adaptation","General vision","Source-free online entropy adaptation","https://arxiv.org/search/?query=Tent%20Fully%20Test-Time%20Adaptation%20by%20Entropy%20Minimization&searchtype=title","https://github.com/DequanWang/tent"
"2022","CoTTA: Continual Test-Time Domain Adaptation","CVPR","Test-time adaptation","General vision","Non-stationary continual shifts","https://arxiv.org/search/?query=CoTTA%20Continual%20Test-Time%20Domain%20Adaptation&searchtype=title","https://github.com/qinenergy/cotta"
"2022","EATA: Efficient Test-Time Model Adaptation without Forgetting","ICML","Test-time adaptation","General vision","Selective adaptation and anti-forgetting","https://arxiv.org/search/?query=EATA%20Efficient%20Test-Time%20Model%20Adaptation%20without%20Forgetting&searchtype=title","https://github.com/mr-eggplant/EATA"
"2023","SAR: Towards Stable Test-Time Adaptation in the Wild","ICLR","Test-time adaptation","General vision","Reliable samples and sharpness-aware adaptation","https://arxiv.org/search/?query=SAR%20Towards%20Stable%20Test-Time%20Adaptation%20in%20the%20Wild&searchtype=title","https://github.com/mr-eggplant/SAR"
